feature,importance
城市,0.20072949113605082
建筑面积,0.17524499739578242
lon,0.1686108224802661
lat,0.15357665362085599
面积_大,0.04185637404723639
房龄,0.02928962065873781
物 业 费,0.026733999075739163
每室面积,0.022843880036809844
面积_小,0.02196926019255903
平均每栋房数,0.015474246194836047
卫,0.013538535940636594
容 积 率,0.01140185904848598
总房间数,0.009357563790438388
卫浴房间数,0.009114944459943257
房屋总数,0.009071380241133447
楼栋总数,0.008817255969491695
面积_中,0.008696079861786329
绿 化 率,0.004961947081674665
居住房间数,0.0042096861824407455
室,0.004145759818953871
配备电梯_无_01,0.0036766245319838236
地下室_01,0.0036052936429913926
blk_k_124.0,0.0028528482161430772
blk_k_170.0,0.002147175216976694
blk_k_129.0,0.001868244198466831
blk_k_165.0,0.0018422320657812475
blk_k_139.0,0.0016595999890423204
blk_k_164.0,0.0014105097634596778
blk_k_275.0,0.0011430943417342328
建筑结构_混合结构_01,0.0011387844950267651
blk_k_15.0,0.001106933288397724
blk_k_137.0,0.0009785189895097502
blk_k_299.0,0.0009349968164381455
blk_k_142.0,0.0008922006635502755
高楼层_01,0.0008329107483904721
blk_k_79.0,0.0008166516998025979
blk_k_123.0,0.000747028333599342
blk_k_82.0,0.000703143184924525
blk_k_132.0,0.0007017190856912263
blk_k_134.0,0.0006758865557151237
blk_k_280.0,0.0006521331925622185
低楼层_01,0.0006355173714387004
厅,0.0006344419754714896
blk_k_133.0,0.0006318475505512097
blk_k_53.0,0.0006141388629464986
建筑结构_未知结构_01,0.0006126640918417259
blk_k_152.0,0.0005453025932432023
blk_k_85.0,0.0005450973291580677
朝向_南_01,0.0005258487824734884
blk_k_204.0,0.0005252692850084557
blk_k_141.0,0.00045752455686841076
blk_k_194.0,0.0004497648264376162
blk_k_9.0,0.0004325081190706133
装修_其他_01,0.00043198212476953826
blk_k_140.0,0.0004167921626166092
朝向_北_01,0.00040339254846341133
blk_k_41.0,0.0003869218270622797
blk_k_5.0,0.000383296942903151
blk_k_68.0,0.0003800544769913713
blk_k_232.0,0.00037233610125652673
建筑结构_砖混结构_01,0.00037204845334409944
year_2024,0.00035993540270829355
装修_毛坯_01,0.0003596532800448817
blk_k_6.0,0.0003589628084721199
blk_k_193.0,0.00034992348311773926
装修_简装_01,0.0003495210872337039
blk_k_28.0,0.0003399253369102704
朝向_东_01,0.0003187247461367581
blk_k_283.0,0.00029291595125440146
blk_k_84.0,0.00027478963781855736
blk_k_42.0,0.00027231506394246197
year_2023,0.0002688825622978573
blk_k_243.0,0.0002656763698195251
blk_k_208.0,0.00026483732165838035
blk_k_8.0,0.00026186235480034066
blk_k_44.0,0.0002330860734215479
blk_k_158.0,0.00023219642600909966
blk_k_101.0,0.00021889934445261418
朝向_西_01,0.00020971682498703646
month_12,0.0002002444616865688
blk_k_127.0,0.0001910944743946127
blk_k_78.0,0.00019071348519348
blk_k_261.0,0.00018795965110952225
blk_k_292.0,0.0001800554625994402
blk_k_19.0,0.00017685355434543323
blk_k_155.0,0.00017506291350255455
建筑结构_框架结构_01,0.00017504987879542931
month_9,0.0001716507665101263
blk_k_229.0,0.0001704848140215846
blk_k_227.0,0.0001702863684833964
blk_k_176.0,0.00016624295419604966
blk_k_81.0,0.00016540936671216138
month_8,0.0001624152529307908
blk_k_160.0,0.00015698637421776522
blk_k_223.0,0.0001559419851736001
month_7,0.0001488921543560791
blk_k_95.0,0.00014602684564355304
blk_k_201.0,0.00014352089806242746
blk_k_217.0,0.00014165531361694984
blk_k_230.0,0.00013659988753618598
blk_k_4.0,0.00013437845117063017
month_10,0.00013354022701241603
blk_k_182.0,0.0001329637625731158
blk_k_262.0,0.00013212688436765524
month_5,0.00012973507333783888
month_6,0.00012955469304429541
blk_k_258.0,0.00012923424329746932
blk_k_71.0,0.0001291148969452491
blk_k_214.0,0.00012850573061245422
blk_k_147.0,0.00012684056426844441
blk_k_216.0,0.00012623188979569248
blk_k_59.0,0.00012570492775606127
blk_k_3.0,0.00012545949228021623
blk_k_116.0,0.00012526116349002503
blk_k_16.0,0.00012464289767938837
blk_k_108.0,0.00012401632495253156
blk_k_113.0,0.00011790888754028937
month_11,0.00011490924230565816
blk_k_48.0,0.00011342008072284777
blk_k_183.0,0.00011154554244870087
blk_k_247.0,0.0001115176828416872
year_2025,0.00011132633912275463
month_4,0.00010462236571614164
year_2022,0.00010379977644581075
blk_k_57.0,0.00010362728167534513
blk_k_111.0,0.00010264274351525907
blk_k_104.0,0.00010163312092654862
blk_k_150.0,9.788887729366941e-05
blk_k_271.0,9.434616268999659e-05
blk_k_303.0,9.239859420348212e-05
month_3,9.163312410804397e-05
blk_k_282.0,8.994372314496336e-05
blk_k_224.0,8.97389097209585e-05
blk_k_293.0,8.921195979659559e-05
blk_k_100.0,8.888884456498725e-05
blk_k_198.0,8.840428593435215e-05
blk_k_145.0,8.752536498639163e-05
blk_k_171.0,8.742426059069282e-05
blk_k_236.0,8.623773716735927e-05
blk_k_94.0,8.5875842755569e-05
blk_k_173.0,8.540871866864526e-05
blk_k_20.0,8.416635733087875e-05
blk_k_266.0,8.303124217844746e-05
blk_k_109.0,8.12683053263913e-05
blk_k_264.0,8.095741621846162e-05
blk_k_47.0,8.076960876328318e-05
blk_k_60.0,7.902358692136712e-05
blk_k_98.0,7.609372802641627e-05
blk_k_35.0,7.53052573888503e-05
month_2,7.51995746666914e-05
blk_k_55.0,7.446729508774629e-05
blk_k_75.0,7.42947627259312e-05
blk_k_260.0,7.42591942617568e-05
blk_k_259.0,7.322597824968963e-05
blk_k_235.0,7.275083837053679e-05
blk_k_126.0,7.178492524711338e-05
blk_k_64.0,7.151324306384239e-05
blk_k_200.0,7.106620967082037e-05
blk_k_245.0,7.045069299333443e-05
blk_k_211.0,6.970051260831246e-05
blk_k_187.0,6.92055205205782e-05
blk_k_263.0,6.727476797473439e-05
blk_k_169.0,6.705142567706156e-05
blk_k_167.0,6.613860216419497e-05
blk_k_26.0,6.601816563746626e-05
blk_k_156.0,6.425857886795127e-05
blk_k_305.0,6.311019397571598e-05
blk_k_188.0,6.228691357095865e-05
blk_k_175.0,6.132843877220598e-05
blk_k_233.0,6.090921800245935e-05
blk_k_218.0,6.0666047478563403e-05
blk_k_83.0,6.0272868719888636e-05
blk_k_284.0,5.899565642894623e-05
blk_k_246.0,5.8461373697489926e-05
blk_k_272.0,5.8413790055927226e-05
blk_k_122.0,5.752964665486667e-05
blk_k_290.0,5.733997460206191e-05
blk_k_237.0,5.66023186357969e-05
blk_k_219.0,5.657836014000654e-05
blk_k_74.0,5.6427505581053795e-05
blk_k_27.0,5.635938489898316e-05
底层_01,5.5768077690680636e-05
blk_k_277.0,5.566167205734504e-05
blk_k_73.0,5.389635446516732e-05
blk_k_195.0,5.385946241685258e-05
blk_k_302.0,5.375822559149909e-05
blk_k_51.0,5.3624430346667095e-05
blk_k_135.0,5.327237972094797e-05
blk_k_70.0,5.107885550888907e-05
blk_k_103.0,5.0806555212147194e-05
顶层_01,5.065298160801353e-05
blk_k_240.0,4.9673628731944956e-05
blk_k_212.0,4.891497117544456e-05
blk_k_130.0,4.8841729145515886e-05
blk_k_49.0,4.747854902943889e-05
blk_k_66.0,4.707712261459822e-05
blk_k_69.0,4.593819240476106e-05
blk_k_205.0,4.512330126212665e-05
blk_k_144.0,4.4815531861114866e-05
blk_k_121.0,4.4359473682322634e-05
blk_k_254.0,4.417392320734219e-05
blk_k_119.0,4.413964807209806e-05
blk_k_102.0,4.394691878687702e-05
blk_k_178.0,4.3837099674838804e-05
blk_k_163.0,4.301254010408039e-05
blk_k_13.0,4.25232601108018e-05
blk_k_92.0,4.224234195608734e-05
blk_k_174.0,4.2211876029155595e-05
blk_k_25.0,4.216464816910874e-05
blk_k_34.0,4.124237345443793e-05
blk_k_220.0,4.085253575531019e-05
blk_k_151.0,4.0536932486537537e-05
blk_k_146.0,3.992234242112953e-05
blk_k_99.0,3.973525073896576e-05
blk_k_213.0,3.972751998664215e-05
blk_k_168.0,3.934704311791289e-05
blk_k_128.0,3.898341640060807e-05
blk_k_192.0,3.876627623451333e-05
blk_k_225.0,3.855190676331467e-05
blk_k_65.0,3.6946691029195706e-05
blk_k_190.0,3.6452180535915105e-05
blk_k_37.0,3.6248305397885884e-05
blk_k_93.0,3.622758276282764e-05
blk_k_56.0,3.5227644485488916e-05
blk_k_191.0,3.4986630327612195e-05
