特征,重要性,重要性%
每室面积,7330,10.12
面积,7040,9.72
物业费密度,6342,8.76
lon,5825,8.04
lat,5603,7.74
房屋总数,4763,6.58
平均每栋房数,4666,6.44
楼栋总数,3311,4.57
物业费,3132,4.32
品质指标,2806,3.87
容积率,2729,3.77
绿化率,2021,2.79
室,1604,2.21
城市,818,1.13
电梯_有,529,0.73
楼层_中层,469,0.65
楼层_高层,445,0.61
设施_衣柜,383,0.53
设施_天然气,381,0.53
朝向_北,343,0.47
设施_电视,338,0.47
设施_冰箱,332,0.46
设施_空调,316,0.44
设施_床,304,0.42
设施_宽带,297,0.41
设施_洗衣机,291,0.4
朝向_南,282,0.39
设施_热水器,274,0.38
面积_中,268,0.37
朝向_东,241,0.33
月_6,223,0.31
设施_暖气,222,0.31
月_8,219,0.3
月_10,196,0.27
月_7,180,0.25
月_9,147,0.2
朝向_西,141,0.19
面积_大,128,0.18
月_11,128,0.18
付款方式_月付价,115,0.16
租赁方式_合租,114,0.16
cluster_129,100,0.14
cluster_215,96,0.13
年_2025,96,0.13
cluster_164,90,0.12
cluster_223,87,0.12
物业_中,84,0.12
cluster_217,84,0.12
cluster_60,83,0.11
楼层_地下室,76,0.1
cluster_126,73,0.1
月_12,72,0.1
cluster_187,72,0.1
cluster_286,71,0.1
cluster_80,68,0.09
cluster_238,68,0.09
cluster_143,66,0.09
cluster_51,64,0.09
cluster_121,64,0.09
付款方式_年付价,63,0.09
cluster_245,63,0.09
cluster_224,63,0.09
面积_小,62,0.09
cluster_269,62,0.09
cluster_194,61,0.08
cluster_100,56,0.08
cluster_83,55,0.08
cluster_160,54,0.07
cluster_17,54,0.07
付款方式_半年付价,54,0.07
cluster_113,53,0.07
cluster_216,53,0.07
cluster_45,53,0.07
月_1,51,0.07
cluster_168,51,0.07
cluster_102,50,0.07
cluster_120,50,0.07
cluster_130,49,0.07
cluster_133,48,0.07
cluster_59,47,0.06
cluster_30,46,0.06
cluster_211,45,0.06
cluster_88,45,0.06
cluster_251,45,0.06
cluster_152,45,0.06
cluster_41,45,0.06
cluster_118,44,0.06
cluster_135,44,0.06
cluster_84,44,0.06
cluster_66,43,0.06
cluster_132,43,0.06
cluster_203,43,0.06
cluster_56,43,0.06
cluster_177,43,0.06
cluster_199,43,0.06
cluster_149,42,0.06
cluster_252,41,0.06
cluster_280,41,0.06
物业_低,41,0.06
cluster_20,41,0.06
cluster_158,40,0.06
cluster_182,40,0.06
cluster_8,39,0.05
cluster_193,39,0.05
cluster_55,38,0.05
cluster_117,38,0.05
cluster_262,38,0.05
cluster_178,37,0.05
cluster_268,36,0.05
cluster_257,36,0.05
cluster_99,36,0.05
cluster_72,36,0.05
cluster_228,35,0.05
cluster_63,34,0.05
cluster_138,34,0.05
cluster_46,34,0.05
cluster_69,34,0.05
cluster_253,33,0.05
cluster_162,33,0.05
cluster_249,33,0.05
cluster_208,33,0.05
cluster_71,33,0.05
cluster_274,32,0.04
cluster_125,32,0.04
cluster_114,32,0.04
cluster_205,32,0.04
cluster_254,32,0.04
cluster_49,32,0.04
cluster_165,31,0.04
cluster_94,31,0.04
cluster_247,30,0.04
cluster_266,30,0.04
cluster_40,30,0.04
cluster_183,30,0.04
cluster_111,30,0.04
月_2,30,0.04
cluster_289,29,0.04
cluster_82,29,0.04
cluster_159,29,0.04
cluster_38,29,0.04
cluster_213,29,0.04
cluster_122,28,0.04
cluster_198,28,0.04
cluster_214,28,0.04
cluster_156,28,0.04
cluster_25,28,0.04
cluster_139,27,0.04
cluster_70,27,0.04
cluster_26,27,0.04
cluster_34,27,0.04
cluster_244,27,0.04
cluster_48,27,0.04
cluster_136,26,0.04
cluster_15,26,0.04
cluster_93,26,0.04
cluster_62,26,0.04
cluster_97,25,0.03
cluster_90,25,0.03
cluster_16,25,0.03
cluster_31,25,0.03
cluster_179,25,0.03
cluster_103,24,0.03
cluster_19,24,0.03
cluster_146,24,0.03
cluster_264,24,0.03
cluster_131,24,0.03
cluster_296,24,0.03
cluster_101,24,0.03
cluster_87,24,0.03
cluster_191,23,0.03
cluster_155,23,0.03
cluster_176,23,0.03
cluster_170,23,0.03
cluster_227,23,0.03
cluster_184,23,0.03
cluster_10,23,0.03
cluster_175,23,0.03
cluster_174,23,0.03
cluster_299,23,0.03
cluster_18,23,0.03
cluster_256,23,0.03
cluster_110,22,0.03
cluster_74,22,0.03
cluster_209,22,0.03
cluster_240,22,0.03
物业_高,21,0.03
cluster_166,21,0.03
cluster_154,21,0.03
cluster_150,21,0.03
cluster_212,20,0.03
cluster_85,20,0.03
cluster_210,20,0.03
cluster_52,19,0.03
cluster_144,19,0.03
