特征,重要性,重要性%
lon,0.24431165484932166,24.43
城市,0.18659218847779072,18.66
面积,0.16822525865923982,16.82
lat,0.14325362731606242,14.33
物业费,0.04147831978637636,4.15
面积_大,0.01963707140152305,1.96
物业费密度,0.019142778385212295,1.91
每室面积,0.018083039199769415,1.81
付款方式_月付价,0.015566732932169512,1.56
面积_小,0.014529962301933107,1.45
平均每栋房数,0.013290966447573185,1.33
容积率,0.011929290738223545,1.19
室,0.011387963404888683,1.14
房屋总数,0.011127281787339382,1.11
租赁方式_合租,0.008200769148374452,0.82
楼栋总数,0.00713286124320066,0.71
品质指标,0.006473553755593914,0.65
绿化率,0.005925936269399723,0.59
电梯_有,0.004223486775993247,0.42
楼层_地下室,0.004084055270491634,0.41
物业_低,0.0034865073745735803,0.35
物业_高,0.002806683803391286,0.28
面积_中,0.0020716623055399863,0.21
付款方式_半年付价,0.001140903651718066,0.11
物业_中,0.001112529030582601,0.11
cluster_210,0.0010246725501982393,0.1
设施_电视,0.0010020321041582718,0.1
设施_空调,0.0008794369926985043,0.09
楼层_高层,0.0008690682037589822,0.09
cluster_21,0.0008451931761125082,0.08
cluster_187,0.0008410070949712923,0.08
楼层_中层,0.0007834792485821561,0.08
cluster_17,0.0007806110504709855,0.08
cluster_129,0.0007377569811892827,0.07
设施_天然气,0.0007275023140801869,0.07
朝向_北,0.000692610285512919,0.07
付款方式_年付价,0.0006791848557825975,0.07
设施_衣柜,0.0006649023171617112,0.07
设施_床,0.0006157756334986326,0.06
cluster_161,0.0006090273915136219,0.06
设施_暖气,0.0005909545188312705,0.06
月_7,0.0005775945124725462,0.06
朝向_南,0.0005640217110783575,0.06
设施_洗衣机,0.0005510228571362293,0.06
朝向_东,0.0005474589073786565,0.05
设施_冰箱,0.0005433023608992329,0.05
cluster_137,0.0005418841933859642,0.05
设施_宽带,0.0005389004402573718,0.05
月_6,0.0005201528268979612,0.05
cluster_177,0.00047167850065151136,0.05
cluster_121,0.00046007947278696427,0.05
设施_热水器,0.0004507763047325817,0.05
月_8,0.0003996096225421101,0.04
月_9,0.0003832761151485783,0.04
月_10,0.00037637135110703913,0.04
cluster_56,0.0003418344400885559,0.03
cluster_194,0.0003321082183639296,0.03
cluster_120,0.00031367685832911816,0.03
cluster_80,0.0003132222662868051,0.03
朝向_西,0.00029934424286320947,0.03
cluster_245,0.0002851269034606209,0.03
cluster_149,0.00028367751374028293,0.03
cluster_240,0.0002740652092733504,0.03
月_11,0.0002736878662749206,0.03
月_12,0.0002736740860002921,0.03
